Unnamed: 0,UTC,day,month,hour,maxtempC,mintempC,DewPointC,WindGustKmph,cloudcover,humidity,pressure,tempC,precipMM,winddirDegree,windspeedKmph,pm25,pm10,frequency_category
0,2025-02-01 00:00:00,1,2,0,13.4,3.1,1.7,1.2,38.0,77.0,1028.1,5.5,0.0,309.0,1.2,,,none
1,2025-02-01 01:00:00,1,2,1,13.4,3.1,1.5,1.7,17.0,78.0,1028.6,5.1,0.0,311.0,1.7,,,none
2,2025-02-01 02:00:00,1,2,2,13.4,3.1,1.1,1.4,16.0,76.0,1028.6,4.9,0.0,310.0,1.4,,,none
3,2025-02-01 03:00:00,1,2,3,13.4,3.1,0.7,0.9,11.0,75.0,1028.6,4.7,0.0,307.0,0.9,,,none
4,2025-02-01 04:00:00,1,2,4,13.4,3.1,0.5,0.6,11.0,76.0,1028.8,4.4,0.0,342.0,0.6,,,none
5,2025-02-01 05:00:00,1,2,5,13.4,3.1,0.4,0.6,12.0,78.0,1028.9,3.8,0.0,342.0,0.6,,,none
6,2025-02-01 06:00:00,1,2,6,13.4,3.1,0.2,0.7,5.0,81.0,1029.3,3.1,0.0,346.0,0.7,,,none
7,2025-02-01 07:00:00,1,2,7,13.4,3.1,1.5,1.4,2.0,80.0,1029.8,4.6,0.0,337.0,1.4,,,none
8,2025-02-01 08:00:00,1,2,8,13.4,3.1,4.3,1.4,5.0,82.0,1030.0,7.1,0.0,203.0,1.4,,,none
9,2025-02-01 09:00:00,1,2,9,13.4,3.1,4.0,2.9,7.0,71.0,1030.1,9.1,0.0,202.0,2.9,,,none
10,2025-02-01 10:00:00,1,2,10,13.4,3.1,4.2,4.6,44.0,63.0,1029.6,10.9,0.0,201.0,4.6,,,none
11,2025-02-01 11:00:00,1,2,11,13.4,3.1,4.6,5.6,100.0,60.0,1028.6,12.2,0.0,195.0,5.6,,,none
12,2025-02-01 12:00:00,1,2,12,13.4,3.1,5.1,5.4,100.0,58.0,1027.6,13.2,0.0,184.0,5.4,,,none
13,2025-02-01 13:00:00,1,2,13,13.4,3.1,5.9,5.1,100.0,60.0,1027.4,13.4,0.0,190.0,5.1,,,none
14,2025-02-01 14:00:00,1,2,14,13.4,3.1,6.2,5.9,100.0,63.0,1027.2,13.1,0.0,194.0,5.9,,,none
15,2025-02-01 15:00:00,1,2,15,13.4,3.1,6.9,3.8,100.0,73.0,1027.0,11.6,0.0,205.0,3.8,,,none
16,2025-02-01 16:00:00,1,2,16,13.4,3.1,5.4,1.7,100.0,78.0,1026.9,9.0,0.0,257.0,1.7,,,none
17,2025-02-01 17:00:00,1,2,17,13.4,3.1,5.0,1.3,100.0,82.0,1027.1,7.8,0.0,304.0,1.3,,,none
18,2025-02-01 18:00:00,1,2,18,13.4,3.1,4.2,1.7,100.0,87.0,1027.1,6.2,0.0,311.0,1.7,,,none
19,2025-02-01 19:00:00,1,2,19,13.4,3.1,3.5,2.9,100.0,91.0,1027.4,4.9,0.0,300.0,2.9,,,none
20,2025-02-01 20:00:00,1,2,20,13.4,3.1,2.7,3.5,100.0,93.0,1027.6,3.8,0.0,309.0,3.5,,,none
21,2025-02-01 21:00:00,1,2,21,13.4,3.1,2.0,2.6,100.0,91.0,1027.7,3.4,0.0,309.0,2.6,,,none
22,2025-02-01 22:00:00,1,2,22,13.4,3.1,1.5,1.4,100.0,85.0,1028.0,3.8,0.0,320.0,1.4,,,none
23,2025-02-01 23:00:00,1,2,23,13.4,3.1,1.0,0.6,99.0,78.0,1028.1,4.6,0.0,342.0,0.6,,,none
24,2025-02-02 00:00:00,2,2,0,8.0,2.8,0.6,0.8,95.0,76.0,1027.7,4.4,0.0,27.0,0.8,,,none
25,2025-02-02 01:00:00,2,2,1,8.0,2.8,0.2,0.6,62.0,75.0,1027.6,4.1,0.0,34.0,0.6,,,none
26,2025-02-02 02:00:00,2,2,2,8.0,2.8,-0.3,2.7,57.0,76.0,1027.2,3.6,0.0,360.0,2.7,,,none
27,2025-02-02 03:00:00,2,2,3,8.0,2.8,-0.8,2.0,21.0,73.0,1026.7,3.6,0.0,10.0,2.0,,,none
28,2025-02-02 04:00:00,2,2,4,8.0,2.8,-1.0,2.8,29.0,74.0,1026.5,3.3,0.0,15.0,2.8,,,none
29,2025-02-02 05:00:00,2,2,5,8.0,2.8,-0.7,3.2,73.0,76.0,1026.2,3.1,0.0,3.0,3.2,,,none
30,2025-02-02 06:00:00,2,2,6,8.0,2.8,-0.3,3.3,100.0,80.0,1026.2,2.8,0.0,6.0,3.3,,,none
31,2025-02-02 07:00:00,2,2,7,8.0,2.8,1.5,4.5,100.0,81.0,1026.5,4.5,0.0,2.0,4.5,,,none
32,2025-02-02 08:00:00,2,2,8,8.0,2.8,2.7,4.5,100.0,83.0,1026.2,5.3,0.0,2.0,4.5,,,none
33,2025-02-02 09:00:00,2,2,9,8.0,2.8,3.1,3.6,100.0,80.0,1025.9,6.3,0.0,3.0,3.6,,,none
34,2025-02-02 10:00:00,2,2,10,8.0,2.8,3.3,3.7,100.0,75.0,1025.5,7.4,0.0,29.0,3.7,,,none
35,2025-02-02 11:00:00,2,2,11,8.0,2.8,3.6,4.7,100.0,75.0,1024.6,7.7,0.0,28.0,4.7,,,none
