Unnamed: 0,UTC,day,month,hour,maxtempC,mintempC,DewPointC,WindGustKmph,cloudcover,humidity,pressure,tempC,precipMM,winddirDegree,windspeedKmph,pm25,pm10,frequency_category,windows_open
0,2025-02-01 00:00:00,1,2,0,13.4,3.1,1.7,1.2,38.0,77.0,1028.1,5.5,0.0,309.0,1.2,7.8,8.5,none,False
1,2025-02-01 01:00:00,1,2,1,13.4,3.1,1.5,1.7,17.0,78.0,1028.6,5.1,0.0,311.0,1.7,7.6,8.3,none,False
2,2025-02-01 02:00:00,1,2,2,13.4,3.1,1.1,1.4,16.0,76.0,1028.6,4.9,0.0,310.0,1.4,7.5,8.2,none,False
3,2025-02-01 03:00:00,1,2,3,13.4,3.1,0.7,0.9,11.0,75.0,1028.6,4.7,0.0,307.0,0.9,7.5,8.2,none,False
4,2025-02-01 04:00:00,1,2,4,13.4,3.1,0.5,0.6,11.0,76.0,1028.8,4.4,0.0,342.0,0.6,7.5,8.2,none,False
5,2025-02-01 05:00:00,1,2,5,13.4,3.1,0.4,0.6,12.0,78.0,1028.9,3.8,0.0,342.0,0.6,7.3,7.9,none,False
6,2025-02-01 06:00:00,1,2,6,13.4,3.1,0.2,0.7,5.0,81.0,1029.3,3.1,0.0,346.0,0.7,6.9,7.5,none,False
7,2025-02-01 07:00:00,1,2,7,13.4,3.1,1.5,1.4,2.0,80.0,1029.8,4.6,0.0,337.0,1.4,6.9,7.5,none,False
8,2025-02-01 08:00:00,1,2,8,13.4,3.1,4.3,1.4,5.0,82.0,1030.0,7.1,0.0,203.0,1.4,6.5,7.1,none,False
9,2025-02-01 09:00:00,1,2,9,13.4,3.1,4.0,2.9,7.0,71.0,1030.1,9.1,0.0,202.0,2.9,6.3,6.9,none,False
10,2025-02-01 10:00:00,1,2,10,13.4,3.1,4.2,4.6,44.0,63.0,1029.6,10.9,0.0,201.0,4.6,6.0,6.5,none,False
11,2025-02-01 11:00:00,1,2,11,13.4,3.1,4.6,5.6,100.0,60.0,1028.6,12.2,0.0,195.0,5.6,6.1,6.6,none,False
12,2025-02-01 12:00:00,1,2,12,13.4,3.1,5.1,5.4,100.0,58.0,1027.6,13.2,0.0,184.0,5.4,6.1,6.6,none,False
13,2025-02-01 13:00:00,1,2,13,13.4,3.1,5.9,5.1,100.0,60.0,1027.4,13.4,0.0,190.0,5.1,5.6,6.1,none,False
14,2025-02-01 14:00:00,1,2,14,13.4,3.1,6.2,5.9,100.0,63.0,1027.2,13.1,0.0,194.0,5.9,5.9,6.4,none,False
15,2025-02-01 15:00:00,1,2,15,13.4,3.1,6.9,3.8,100.0,73.0,1027.0,11.6,0.0,205.0,3.8,5.7,6.2,none,False
16,2025-02-01 16:00:00,1,2,16,13.4,3.1,5.4,1.7,100.0,78.0,1026.9,9.0,0.0,257.0,1.7,5.8,6.3,none,False
17,2025-02-01 17:00:00,1,2,17,13.4,3.1,5.0,1.3,100.0,82.0,1027.1,7.8,0.0,304.0,1.3,5.7,6.2,none,False
18,2025-02-01 18:00:00,1,2,18,13.4,3.1,4.2,1.7,100.0,87.0,1027.1,6.2,0.0,311.0,1.7,5.9,6.4,none,False
19,2025-02-01 19:00:00,1,2,19,13.4,3.1,3.5,2.9,100.0,91.0,1027.4,4.9,0.0,300.0,2.9,6.4,7.0,none,False
20,2025-02-01 20:00:00,1,2,20,13.4,3.1,2.7,3.5,100.0,93.0,1027.6,3.8,0.0,309.0,3.5,6.8,7.4,none,False
21,2025-02-01 21:00:00,1,2,21,13.4,3.1,2.0,2.6,100.0,91.0,1027.7,3.4,0.0,309.0,2.6,6.3,6.8,none,False
22,2025-02-01 22:00:00,1,2,22,13.4,3.1,1.5,1.4,100.0,85.0,1028.0,3.8,0.0,320.0,1.4,6.3,6.8,none,False
23,2025-02-01 23:00:00,1,2,23,13.4,3.1,1.0,0.6,99.0,78.0,1028.1,4.6,0.0,342.0,0.6,6.5,7.1,none,False
24,2025-02-02 00:00:00,2,2,0,8.0,2.8,0.6,0.8,95.0,76.0,1027.7,4.4,0.0,27.0,0.8,6.4,7.0,none,False
25,2025-02-02 01:00:00,2,2,1,8.0,2.8,0.2,0.6,62.0,75.0,1027.6,4.1,0.0,34.0,0.6,7.0,7.7,none,False
26,2025-02-02 02:00:00,2,2,2,8.0,2.8,-0.3,2.7,57.0,76.0,1027.2,3.6,0.0,360.0,2.7,7.0,7.6,none,False
27,2025-02-02 03:00:00,2,2,3,8.0,2.8,-0.8,2.0,21.0,73.0,1026.7,3.6,0.0,10.0,2.0,6.8,7.5,none,False
28,2025-02-02 04:00:00,2,2,4,8.0,2.8,-1.0,2.8,29.0,74.0,1026.5,3.3,0.0,15.0,2.8,6.9,7.5,none,False
29,2025-02-02 05:00:00,2,2,5,8.0,2.8,-0.7,3.2,73.0,76.0,1026.2,3.1,0.0,3.0,3.2,6.6,7.2,none,False
30,2025-02-02 06:00:00,2,2,6,8.0,2.8,-0.3,3.3,100.0,80.0,1026.2,2.8,0.0,6.0,3.3,6.7,7.3,none,False
31,2025-02-02 07:00:00,2,2,7,8.0,2.8,1.5,4.5,100.0,81.0,1026.5,4.5,0.0,2.0,4.5,6.6,7.2,none,False
32,2025-02-02 08:00:00,2,2,8,8.0,2.8,2.7,4.5,100.0,83.0,1026.2,5.3,0.0,2.0,4.5,6.5,7.1,none,False
33,2025-02-02 09:00:00,2,2,9,8.0,2.8,3.1,3.6,100.0,80.0,1025.9,6.3,0.0,3.0,3.6,6.6,7.2,none,False
34,2025-02-02 10:00:00,2,2,10,8.0,2.8,3.3,3.7,100.0,75.0,1025.5,7.4,0.0,29.0,3.7,6.3,6.9,none,False
35,2025-02-02 11:00:00,2,2,11,8.0,2.8,3.6,4.7,100.0,75.0,1024.6,7.7,0.0,28.0,4.7,6.4,7.0,none,False
36,2025-02-02 12:00:00,2,2,12,8.0,2.8,4.0,5.2,100.0,76.0,1023.7,8.0,0.0,29.0,5.2,6.6,7.2,none,False
37,2025-02-02 13:00:00,2,2,13,8.0,2.8,4.5,5.8,100.0,84.0,1023.8,7.1,0.0,4.0,5.8,6.7,7.3,none,False
38,2025-02-02 14:00:00,2,2,14,8.0,2.8,4.8,6.7,100.0,88.0,1023.3,6.7,0.0,5.0,6.7,6.4,7.0,none,False
39,2025-02-02 15:00:00,2,2,15,8.0,2.8,4.9,6.1,93.0,93.0,1023.0,5.9,0.0,341.0,6.1,5.7,6.2,none,False
40,2025-02-02 16:00:00,2,2,16,8.0,2.8,4.1,5.4,74.0,94.0,1022.7,5.0,0.0,330.0,5.4,6.4,7.0,none,False
41,2025-02-02 17:00:00,2,2,17,8.0,2.8,3.5,4.5,99.0,91.0,1022.9,4.9,0.0,323.0,4.5,6.2,6.8,none,False
42,2025-02-02 18:00:00,2,2,18,8.0,2.8,3.5,4.4,100.0,91.0,1023.0,4.8,0.0,322.0,4.4,6.6,7.3,none,False
43,2025-02-02 19:00:00,2,2,19,8.0,2.8,3.3,3.5,65.0,93.0,1022.9,4.3,0.0,339.0,3.5,7.3,8.0,none,False
44,2025-02-02 20:00:00,2,2,20,8.0,2.8,3.6,3.4,28.0,93.0,1022.9,4.6,0.0,335.0,3.4,7.3,7.9,none,False
45,2025-02-02 21:00:00,2,2,21,8.0,2.8,3.5,2.1,31.0,95.0,1023.1,4.3,0.0,345.0,2.1,7.9,8.6,none,False
46,2025-02-02 22:00:00,2,2,22,8.0,2.8,3.5,2.2,49.0,95.0,1023.2,4.2,0.0,346.0,2.2,7.8,8.5,none,False
47,2025-02-02 23:00:00,2,2,23,8.0,2.8,3.6,3.4,100.0,97.0,1023.1,4.0,0.0,354.0,3.4,8.2,9.0,none,False
48,2025-02-03 00:00:00,3,2,0,8.4,2.8,4.1,3.3,100.0,98.0,1022.7,4.4,0.0,347.0,3.3,8.1,8.8,none,False
49,2025-02-03 01:00:00,3,2,1,8.4,2.8,4.9,3.7,100.0,93.0,1022.4,6.0,0.0,349.0,3.7,7.9,8.6,none,False
50,2025-02-03 02:00:00,3,2,2,8.4,2.8,5.0,2.2,57.0,94.0,1022.1,5.9,0.0,346.0,2.2,8.8,9.6,none,False
51,2025-02-03 03:00:00,3,2,3,8.4,2.8,4.8,1.5,69.0,95.0,1021.7,5.6,0.0,330.0,1.5,8.4,9.2,none,False
52,2025-02-03 04:00:00,3,2,4,8.4,2.8,4.5,1.5,77.0,95.0,1021.8,5.2,0.0,339.0,1.5,8.3,9.0,none,False
53,2025-02-03 05:00:00,3,2,5,8.4,2.8,4.2,1.2,75.0,95.0,1022.0,4.9,0.0,321.0,1.2,7.9,8.6,none,False
54,2025-02-03 06:00:00,3,2,6,8.4,2.8,4.2,3.9,99.0,94.0,1022.5,5.1,0.0,294.0,3.9,7.7,8.4,low,True
55,2025-02-03 07:00:00,3,2,7,8.4,2.8,4.5,4.7,91.0,94.0,1022.6,5.5,0.0,266.0,4.7,14.7,16.3,low,False
56,2025-02-03 08:00:00,3,2,8,8.4,2.8,5.0,4.6,100.0,91.0,1022.7,6.3,0.0,216.0,4.6,20.5,23.1,high,False
57,2025-02-03 09:00:00,3,2,9,8.4,2.8,5.3,3.8,100.0,88.0,1022.9,7.2,0.0,188.0,3.8,21.8,24.0,high,False
58,2025-02-03 10:00:00,3,2,10,8.4,2.8,5.4,3.6,100.0,87.0,1022.9,7.4,0.0,180.0,3.6,17.3,19.3,high,False
59,2025-02-03 11:00:00,3,2,11,8.4,2.8,5.7,2.5,100.0,85.0,1022.4,8.0,0.0,176.0,2.5,13.1,14.6,high,False
60,2025-02-03 12:00:00,3,2,12,8.4,2.8,5.0,1.5,100.0,79.0,1022.0,8.4,0.0,353.0,1.5,12.7,14.1,high,False
61,2025-02-03 13:00:00,3,2,13,8.4,2.8,3.6,3.0,100.0,75.0,1022.7,7.8,0.0,308.0,3.0,18.5,20.6,high,False
62,2025-02-03 14:00:00,3,2,14,8.4,2.8,3.2,3.2,100.0,73.0,1022.8,7.8,0.0,286.0,3.2,14.2,15.8,high,False
63,2025-02-03 15:00:00,3,2,15,8.4,2.8,3.9,2.8,100.0,80.0,1022.8,7.1,0.0,243.0,2.8,12.4,13.9,high,False
64,2025-02-03 16:00:00,3,2,16,8.4,2.8,3.8,2.4,100.0,85.0,1023.0,6.1,0.0,234.0,2.4,12.2,13.4,high,False
65,2025-02-03 17:00:00,3,2,17,8.4,2.8,3.6,1.5,100.0,88.0,1023.7,5.4,0.0,225.0,1.5,11.5,12.6,high,False
66,2025-02-03 18:00:00,3,2,18,8.4,2.8,3.7,0.4,100.0,89.0,1024.3,5.3,0.0,207.0,0.4,11.9,13.1,high,False
67,2025-02-03 19:00:00,3,2,19,8.4,2.8,3.5,1.2,100.0,89.0,1024.9,5.1,0.0,219.0,1.2,10.8,11.8,none,False
68,2025-02-03 20:00:00,3,2,20,8.4,2.8,3.2,1.5,96.0,90.0,1025.5,4.8,0.0,216.0,1.5,10.7,11.7,none,False
69,2025-02-03 21:00:00,3,2,21,8.4,2.8,2.7,0.7,62.0,92.0,1025.9,3.9,0.0,194.0,0.7,10.1,11.1,none,False
70,2025-02-03 22:00:00,3,2,22,8.4,2.8,2.4,1.7,99.0,92.0,1026.5,3.6,0.0,221.0,1.7,9.6,10.5,none,False
71,2025-02-03 23:00:00,3,2,23,8.4,2.8,1.7,2.3,79.0,92.0,1026.8,2.8,0.0,231.0,2.3,8.9,9.7,none,False
72,2025-02-04 00:00:00,4,2,0,8.1,-1.6,0.3,3.1,73.0,92.0,1027.1,1.4,0.0,249.0,3.1,8.5,9.3,none,False
73,2025-02-04 01:00:00,4,2,1,8.1,-1.6,-1.8,3.7,83.0,78.0,1027.7,1.5,0.0,247.0,3.7,8.2,9.0,none,False
74,2025-02-04 02:00:00,4,2,2,8.1,-1.6,-2.1,4.2,57.0,83.0,1027.9,0.4,0.0,265.0,4.2,7.8,8.5,none,False
75,2025-02-04 03:00:00,4,2,3,8.1,-1.6,-2.6,5.2,28.0,85.0,1027.9,-0.4,0.0,276.0,5.2,7.3,8.0,none,False
76,2025-02-04 04:00:00,4,2,4,8.1,-1.6,-3.3,4.8,39.0,86.0,1027.9,-1.2,0.0,285.0,4.8,6.8,7.4,none,False
77,2025-02-04 05:00:00,4,2,5,8.1,-1.6,-3.6,4.8,11.0,86.0,1028.2,-1.5,0.0,283.0,4.8,6.3,6.9,none,False
78,2025-02-04 06:00:00,4,2,6,8.1,-1.6,-3.7,4.7,7.0,86.0,1029.1,-1.6,0.0,277.0,4.7,5.3,5.8,low,True
79,2025-02-04 07:00:00,4,2,7,8.1,-1.6,-2.4,6.1,0.0,82.0,1029.7,0.3,0.0,267.0,6.1,6.1,6.7,low,False
80,2025-02-04 08:00:00,4,2,8,8.1,-1.6,-2.3,6.3,3.0,69.0,1030.0,2.8,0.0,250.0,6.3,6.7,8.0,high,False
81,2025-02-04 09:00:00,4,2,9,8.1,-1.6,-3.0,7.4,13.0,59.0,1029.7,4.4,0.0,241.0,7.4,8.4,9.3,high,False
82,2025-02-04 10:00:00,4,2,10,8.1,-1.6,-3.2,6.8,23.0,53.0,1029.1,5.6,0.0,235.0,6.8,8.4,9.4,high,False
83,2025-02-04 11:00:00,4,2,11,8.1,-1.6,-2.9,5.9,27.0,51.0,1028.4,6.6,0.0,230.0,5.9,8.1,9.0,high,False
84,2025-02-04 12:00:00,4,2,12,8.1,-1.6,-2.7,5.3,22.0,49.0,1027.5,7.3,0.0,213.0,5.3,11.7,13.0,high,False
85,2025-02-04 13:00:00,4,2,13,8.1,-1.6,-2.9,3.9,6.0,46.0,1027.3,7.9,0.0,208.0,3.9,8.6,9.6,high,False
86,2025-02-04 14:00:00,4,2,14,8.1,-1.6,-3.1,2.8,69.0,45.0,1027.2,8.1,0.0,195.0,2.8,9.7,10.7,high,False
87,2025-02-04 15:00:00,4,2,15,8.1,-1.6,0.5,0.7,73.0,62.0,1027.2,7.4,0.0,104.0,0.7,9.0,13.7,high,False
88,2025-02-04 16:00:00,4,2,16,8.1,-1.6,-1.9,2.8,38.0,61.0,1027.6,5.1,0.0,27.0,2.8,8.1,9.0,high,False
89,2025-02-04 17:00:00,4,2,17,8.1,-1.6,-2.2,3.9,30.0,67.0,1028.5,3.2,0.0,347.0,3.9,7.5,8.4,high,False
90,2025-02-04 18:00:00,4,2,18,8.1,-1.6,-2.9,4.0,23.0,73.0,1029.3,1.3,0.0,324.0,4.0,7.4,8.2,high,False
91,2025-02-04 19:00:00,4,2,19,8.1,-1.6,-3.2,4.1,12.0,78.0,1030.0,0.2,0.0,311.0,4.1,7.1,7.9,none,False
92,2025-02-04 20:00:00,4,2,20,8.1,-1.6,-3.5,4.1,4.0,81.0,1030.5,-0.7,0.0,304.0,4.1,6.7,7.4,none,False
93,2025-02-04 21:00:00,4,2,21,8.1,-1.6,-3.8,4.2,7.0,82.0,1031.0,-1.2,0.0,295.0,4.2,6.6,7.3,none,False
94,2025-02-04 22:00:00,4,2,22,8.1,-1.6,-4.0,4.0,18.0,82.0,1031.4,-1.4,0.0,291.0,4.0,6.4,7.0,none,False
95,2025-02-04 23:00:00,4,2,23,8.1,-1.6,-4.0,4.0,20.0,82.0,1031.6,-1.4,0.0,288.0,4.0,6.3,6.9,none,False
96,2025-02-05 00:00:00,5,2,0,8.5,-1.8,-4.1,4.0,16.0,82.0,1031.7,-1.5,0.0,288.0,4.0,6.1,6.6,none,False
