ID,UTC,day,month,hour,n'-2.5,n'-10,n1-CO,n1-NO2,n1-pm10,n1-pm25,n2-CO,n2-NO2,n2-pm10,n2-pm25,n3-CO,n3-NO2,n3-pm10,n3-pm25,n4-pm10,n4-pm25,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
0,2/1/2025 0:00:00,1,2,0,,,,,,,429994.1,20000,12.6,9.9,1500000,20000,8.5,7.8,,,13.4,3.1,,,,,1.7,5.5,5.5,5.5,1.2,38,77,0,1028.1,5.5,,309,1.2
1,2/1/2025 1:00:00,1,2,1,,,,,,,429994.1,20000,15.4,12.6,47834.3,20000,8.3,7.6,,,13.4,3.1,,,,,1.5,5.1,5.1,5.1,1.7,17,78,0,1028.6,5.1,,311,1.7
2,2/1/2025 2:00:00,1,2,2,,,,,,,443122.3,20000,12.8,11.4,66828.1,20000,8.2,7.5,,,13.4,3.1,,,,,1.1,4.9,4.9,4.9,1.4,16,76,0,1028.6,4.9,,310,1.4
3,2/1/2025 3:00:00,1,2,3,,,,,,,450732.9,20000,14.4,12.5,70413.9,20000,8.2,7.5,,,13.4,3.1,,,,,0.7,4.7,4.7,4.7,0.9,11,75,0,1028.6,4.7,,307,0.9
4,2/1/2025 4:00:00,1,2,4,,,,,,,440142.8,20000,18.3,14.9,1409999.9,20000,8.2,7.5,,,13.4,3.1,,,,,0.5,4.4,4.4,4.4,0.6,11,76,0,1028.8,4.4,,342,0.6
5,2/1/2025 5:00:00,1,2,5,,,,,,,394515.2,20000,14.2,11.3,47387.5,20000,7.9,7.3,,,13.4,3.1,,,,,0.4,3.8,3.8,3.8,0.6,12,78,0,1028.9,3.8,,342,0.6
6,2/1/2025 6:00:00,1,2,6,,,,,,,440142.8,20000,8.5,7.6,701925.2,20000,7.5,6.9,,,13.4,3.1,,,,,0.2,3.1,3.1,3.1,0.7,5,81,0,1029.3,3.1,,346,0.7
7,2/1/2025 7:00:00,1,2,7,,,,,,,429994.1,20000,7.8,7.1,1500000,20000,7.5,6.9,,,13.4,3.1,,,,,1.5,4.6,4.6,4.6,1.4,2,80,0,1029.8,4.6,,337,1.4
8,2/1/2025 8:00:00,1,2,8,,,,,,,417550.7,20000,10,8.2,48912.6,20000,7.1,6.5,,,13.4,3.1,,,,,4.3,7.1,7.1,7.1,1.4,5,82,0,1030,7.1,,203,1.4
9,2/1/2025 9:00:00,1,2,9,,,,,,,414873.2,20000,7.6,6.8,50133.3,20000,6.9,6.3,,,13.4,3.1,,,,,4,9.1,9.1,9.1,2.9,7,71,0,1030.1,9.1,,202,2.9
10,2/1/2025 10:00:00,1,2,10,,,,,,,414873.2,20000,9.7,8.7,331888.9,20000,6.5,6,,,13.4,3.1,,,,,4.2,10.9,10.9,10.9,4.6,44,63,0,1029.6,10.9,,201,4.6
11,2/1/2025 11:00:00,1,2,11,,,,,,,407022.7,20000,10.7,9.4,59775.5,20000,6.6,6.1,,,13.4,3.1,,,,,4.6,12.2,12.2,12.2,5.6,100,60,0,1028.6,12.2,,195,5.6
12,2/1/2025 12:00:00,1,2,12,,,,,,,405740.1,20000,10.8,9.7,48798,20000,6.6,6.1,,,13.4,3.1,,,,,5.1,13.2,13.2,13.2,5.4,100,58,0,1027.6,13.2,,184,5.4
13,2/1/2025 13:00:00,1,2,13,,,,,,,396961.2,20000,12.3,10.7,1500000,20000,6.1,5.6,,,13.4,3.1,,,,,5.9,13.4,13.4,13.4,5.1,100,60,0,1027.4,13.4,,190,5.1
14,2/1/2025 14:00:00,1,2,14,,,,,,,394515.2,20000,10.7,9.6,45481.2,20000,6.4,5.9,,,13.4,3.1,,,,,6.2,13.1,13.1,13.1,5.9,100,63,0,1027.2,13.1,,194,5.9
15,2/1/2025 15:00:00,1,2,15,,,,,,,390896.2,20000,9.7,8.5,783414.5,20000,6.2,5.7,,,13.4,3.1,,,,,6.9,11.6,11.6,11.6,3.8,100,73,0,1027,11.6,,205,3.8
16,2/1/2025 16:00:00,1,2,16,,,,,,,400681.6,20000,13.3,11.9,1500000,20000,6.3,5.8,,,13.4,3.1,,,,,5.4,9,9,9,1.7,100,78,0,1026.9,9,,257,1.7
17,2/1/2025 17:00:00,1,2,17,,,,,,,393302.2,20000,15.7,13,58788.8,20000,6.2,5.7,,,13.4,3.1,,,,,5,7.8,7.8,7.8,1.3,100,82,0,1027.1,7.8,,304,1.3
18,2/1/2025 18:00:00,1,2,18,,,,,,,390896.2,20000,22.8,17.8,63454.9,20000,6.4,5.9,,,13.4,3.1,,,,,4.2,6.2,6.2,6.2,1.7,100,87,0,1027.1,6.2,,311,1.7
19,2/1/2025 19:00:00,1,2,19,,,,,,,384994.6,20000,24.4,21.8,164717.3,20000,7,6.4,,,13.4,3.1,,,,,3.5,4.9,4.9,4.9,2.9,100,91,0,1027.4,4.9,,300,2.9
20,2/1/2025 20:00:00,1,2,20,,,,,,,387336,20000,23,20,58026.2,20000,7.4,6.8,,,13.4,3.1,,,,,2.7,3.8,3.8,3.8,3.5,100,93,0,1027.6,3.8,,309,3.5
21,2/1/2025 21:00:00,1,2,21,,,,,,,388516.3,20000,22,19.7,338264.4,20000,6.8,6.3,,,13.4,3.1,,,,,2,3.4,3.4,3.4,2.6,100,91,0,1027.7,3.4,,309,2.6
22,2/1/2025 22:00:00,1,2,22,,,,,,,393302.2,20000,20,17.8,52608.4,20000,6.8,6.3,,,13.4,3.1,,,,,1.5,3.8,3.8,3.8,1.4,100,85,0,1028,3.8,,320,1.4
23,2/1/2025 23:00:00,1,2,23,,,,,,,398194.4,20000,25.2,20.3,1500000,20000,7.1,6.5,,,13.4,3.1,,,,,1,4.6,4.6,4.6,0.6,99,78,0,1028.1,4.6,,342,0.6
24,2/2/2025 0:00:00,2,2,0,,,,,,,405740.1,20000,25.1,20.3,1500000,20000,7,6.4,,,8,2.8,,,,,0.6,4.4,4.4,4.4,0.8,95,76,0,1027.7,4.4,,27,0.8
25,2/2/2025 1:00:00,2,2,1,,,,,,,404464.8,20000,21.8,18.8,1500000,20000,7.7,7,,,8,2.8,,,,,0.2,4.1,4.1,4.1,0.6,62,75,0,1027.6,4.1,,34,0.6
26,2/2/2025 2:00:00,2,2,2,,,,,,,407022.7,20000,26,22.5,69560,20000,7.6,7,,,8,2.8,,,,,-0.3,3.6,3.6,3.6,2.7,57,76,0,1027.2,3.6,,360,2.7
27,2/2/2025 3:00:00,2,2,3,,,,,,,421625.7,20000,24.6,20,56133.8,20000,7.5,6.8,,,8,2.8,,,,,-0.8,3.6,3.6,3.6,2,21,73,0,1026.7,3.6,,10,2
28,2/2/2025 4:00:00,2,2,4,,,,,,,432850.2,20000,18.2,16.2,173453.9,20000,7.5,6.9,,,8,2.8,,,,,-1,3.3,3.3,3.3,2.8,29,74,0,1026.5,3.3,,15,2.8
