ID,UTC,day,month,hour,n1-CO,n1-NO2,n1-pm10,n1-pm25,n2-pm10,n2-pm25
0,4/1/2025 0:00:00,1,4,0,59917.94,20000.0,2.2,2.1,,
1,4/1/2025 1:00:00,1,4,1,1500000.0,20000.0,1.9,1.8,,
2,4/1/2025 2:00:00,1,4,2,1500000.0,20000.0,2.0,1.9,,
3,4/1/2025 3:00:00,1,4,3,262401.56,20000.0,1.9,1.8,,
4,4/1/2025 4:00:00,1,4,4,1383982.25,20000.0,1.8,1.7,,
5,4/1/2025 5:00:00,1,4,5,64998.6,20000.0,3.3,2.9,,
6,4/1/2025 6:00:00,1,4,6,188691.19,20000.0,5.4,3.9,,
7,4/1/2025 7:00:00,1,4,7,63531.04,20000.0,9.0,8.1,,
8,4/1/2025 8:00:00,1,4,8,1500000.0,20000.0,8.3,6.0,,
9,4/1/2025 9:00:00,1,4,9,1500000.0,20000.0,11.2,6.9,,
10,4/1/2025 10:00:00,1,4,10,1500000.0,20000.0,12.2,6.7,,
11,4/1/2025 11:00:00,1,4,11,57478.49,20000.0,7.3,4.7,,
12,4/1/2025 12:00:00,1,4,12,63607.31,20000.0,9.4,8.1,,
13,4/1/2025 13:00:00,1,4,13,1500000.0,20000.0,8.4,4.5,,
14,4/1/2025 14:00:00,1,4,14,1500000.0,20000.0,7.2,4.1,,
15,4/1/2025 15:00:00,1,4,15,1500000.0,20000.0,8.9,6.1,,
16,4/1/2025 16:00:00,1,4,16,71630.64,20000.0,5.2,4.3,,
17,4/1/2025 17:00:00,1,4,17,1500000.0,20000.0,4.5,4.0,,
18,4/1/2025 18:00:00,1,4,18,1500000.0,20000.0,4.1,3.7,,
19,4/1/2025 19:00:00,1,4,19,499996.59,20000.0,3.8,3.5,,
20,4/1/2025 20:00:00,1,4,20,1500000.0,20000.0,3.9,3.6,,
21,4/1/2025 21:00:00,1,4,21,71193.22,20000.0,3.8,3.5,,
22,4/1/2025 22:00:00,1,4,22,61657.63,20000.0,4.0,3.4,,
23,4/1/2025 23:00:00,1,4,23,61363.77,20000.0,3.5,3.2,,
24,4/2/2025 0:00:00,2,4,0,61879.08,20000.0,3.0,2.8,,
25,4/2/2025 1:00:00,2,4,1,1500000.0,20000.0,3.0,2.8,,
26,4/2/2025 2:00:00,2,4,2,209842.95,20000.0,3.1,2.9,,
27,4/2/2025 3:00:00,2,4,3,62399.32,20000.0,3.1,2.8,,
28,4/2/2025 4:00:00,2,4,4,1500000.0,20000.0,2.7,2.5,,
29,4/2/2025 5:00:00,2,4,5,56667.54,20000.0,2.4,2.2,,
30,4/2/2025 6:00:00,2,4,6,1500000.0,20000.0,9.4,3.1,,
31,4/2/2025 7:00:00,2,4,7,571803.06,20000.0,4.2,3.0,,
32,4/2/2025 8:00:00,2,4,8,668491.06,20000.0,4.3,3.0,,
33,4/2/2025 9:00:00,2,4,9,1500000.0,20000.0,9.1,4.8,,
34,4/2/2025 10:00:00,2,4,10,241774.75,20000.0,9.5,4.3,,
35,4/2/2025 11:00:00,2,4,11,1500000.0,20000.0,6.9,5.6,,
36,4/2/2025 12:00:00,2,4,12,181304.83,20000.0,6.9,4.2,,
37,4/2/2025 13:00:00,2,4,13,59917.94,20000.0,2.1,1.8,,
38,4/2/2025 14:00:00,2,4,14,1500000.0,20000.0,7.4,4.7,,
39,4/2/2025 15:00:00,2,4,15,1500000.0,20000.0,8.1,4.8,,
40,4/2/2025 16:00:00,2,4,16,208614.02,20000.0,6.2,4.2,,
41,4/2/2025 17:00:00,2,4,17,68551.55,20000.0,7.6,4.9,,
42,4/2/2025 18:00:00,2,4,18,78505.09,20000.0,5.7,4.7,,
43,4/2/2025 19:00:00,2,4,19,83725.95,20000.0,4.5,4.1,,
44,4/2/2025 20:00:00,2,4,20,1500000.0,20000.0,3.9,3.6,,
45,4/2/2025 21:00:00,2,4,21,1500000.0,20000.0,4.2,3.8,,
46,4/2/2025 22:00:00,2,4,22,1500000.0,20000.0,3.7,3.4,,
47,4/2/2025 23:00:00,2,4,23,1500000.0,20000.0,3.5,3.2,,
48,4/3/2025 0:00:00,3,4,0,74508.72,20000.0,4.1,3.8,,
49,4/3/2025 1:00:00,3,4,1,63075.54,20000.0,3.8,3.5,,
50,4/3/2025 2:00:00,3,4,2,1500000.0,20000.0,4.0,3.7,,
51,4/3/2025 3:00:00,3,4,3,63454.86,20000.0,4.0,3.7,,
52,4/3/2025 4:00:00,3,4,4,1500000.0,20000.0,4.0,3.7,,
53,4/3/2025 5:00:00,3,4,5,1500000.0,20000.0,4.9,4.1,,
54,4/3/2025 6:00:00,3,4,6,140889.8,20000.0,6.7,5.7,,
55,4/3/2025 7:00:00,3,4,7,69137.68,20000.0,7.2,5.8,,
56,4/3/2025 8:00:00,3,4,8,59775.48,20000.0,11.8,7.8,,
57,4/3/2025 9:00:00,3,4,9,57683.22,20000.0,9.1,5.8,,
58,4/3/2025 10:00:00,3,4,10,226498.3,20000.0,7.5,5.5,,
59,4/3/2025 11:00:00,3,4,11,912700.56,20000.0,5.7,5.0,,
60,4/3/2025 12:00:00,3,4,12,58998.68,20000.0,6.6,4.0,,
61,4/3/2025 13:00:00,3,4,13,1500000.0,20000.0,5.7,4.2,,
62,4/3/2025 14:00:00,3,4,14,61363.77,20000.0,7.4,4.7,,
63,4/3/2025 15:00:00,3,4,15,1500000.0,20000.0,6.4,4.1,,
64,4/3/2025 16:00:00,3,4,16,1500000.0,20000.0,5.8,3.6,,
65,4/3/2025 17:00:00,3,4,17,56466.75,20000.0,4.7,3.8,,
66,4/3/2025 18:00:00,3,4,18,126640.3,20000.0,4.7,4.2,,
67,4/3/2025 19:00:00,3,4,19,1500000.0,20000.0,4.5,4.1,,
68,4/3/2025 20:00:00,3,4,20,1500000.0,20000.0,4.3,3.9,,
69,4/3/2025 21:00:00,3,4,21,62175.75,20000.0,4.2,3.8,,
70,4/3/2025 22:00:00,3,4,22,68136.5,20000.0,4.1,3.7,,
71,4/3/2025 23:00:00,3,4,23,1500000.0,20000.0,3.5,3.2,,
72,4/4/2025 0:00:00,4,4,0,1500000.0,20000.0,3.4,3.1,,
73,4/4/2025 1:00:00,4,4,1,1500000.0,20000.0,3.3,3.1,,
74,4/4/2025 2:00:00,4,4,2,546592.56,20000.0,3.1,2.9,,
75,4/4/2025 3:00:00,4,4,3,1500000.0,20000.0,3.4,3.2,,
76,4/4/2025 4:00:00,4,4,4,1500000.0,20000.0,3.1,2.9,,
77,4/4/2025 5:00:00,4,4,5,1500000.0,20000.0,2.8,2.6,,
78,4/4/2025 6:00:00,4,4,6,1500000.0,20000.0,4.7,3.0,,
79,4/4/2025 7:00:00,4,4,7,1450850.5,20000.0,4.3,3.3,,
80,4/4/2025 8:00:00,4,4,8,91044.78,20000.0,3.7,3.2,,
81,4/4/2025 9:00:00,4,4,9,308365.84,20000.0,6.5,4.4,,
82,4/4/2025 10:00:00,4,4,10,1500000.0,20000.0,4.8,4.3,,
83,4/4/2025 11:00:00,4,4,11,1500000.0,20000.0,7.6,6.0,,
84,4/4/2025 12:00:00,4,4,12,1167166.62,20000.0,8.3,5.7,,
85,4/4/2025 13:00:00,4,4,13,1500000.0,20000.0,4.7,4.3,,
86,4/4/2025 14:00:00,4,4,14,235663.14,20000.0,5.5,4.6,,
87,4/4/2025 15:00:00,4,4,15,106957.73,20000.0,4.9,4.5,,
